57,66
56,18," "
39,40,"!"
3,27," "
31,43,"*"
56,27,"#"
49,57,"*"
33,2," "
36,7,"#"
4,9," "
44,14,"!"
49,60,"!"
3,36,"!"
31,1," "
49,0," "
54,16,"!"
24,9,"*"
40,47,"!"
21,3,"!"
2,21,"!"
6,3," "
17,53,"*"
42,19,"!"
29,21,"!"
43,52,"!"
5,16,"*"
26,17,"!"
47,58,"*"
46,17,"!"
6,48," "
38,16,"!"
7,11," "
36,12,"!"
52,52,"!"
1,12," "
25,35,"*"
6,22,"!"
53,45,"*"
41,23,"!"
1,10," "
10,3,"\"
49,24,"!"
38,51,"*"
20,9,"."
16,12,"."
33,13,"!"
48,1," "
35,33,"!"
41,36,"*"
12,31,"*"
37,42,"#"
27,27,"!"
20,39,"."
12,43,"."
40,2," "
40,7,"!"
42,9,"!"
10,50,"*"
55,10," "
43,57,"*"
6,40,"!"
43,27,"!"
14,39,"#"
24,3," "
42,51,"!"
23,35,"!"
37,49,"!"
32,38,"!"
37,19,"!"
54,37,"#"
49,16,"#"
9,4," "
45,35,"*"
39,48,"!"
49,38,"!"
8,15,"!"
35,21,"!"
7,10," "
32,43,"!"
51,46,"*"
24,37,"*"
13,10,"#"
49,29,"!"
37,21,"!"
49,49,"#"
20,11,"."
54,28,"!"
30,40,"!"
7,9," "
36,37,"!"
39,21,"!"
56,21,"#"
37,29,"!"
35,28,"!"
13,42,"."
41,7,"!"
43,11,"!"
26,22,"!"
21,43,"."
51,9,"!"
7,31,"!"
55,34,"!"
11,49,"*"
50,39,"!"
48,58,"*"
5,13," "
5,44," "
34,15,"!"
45,37,"!"
14,33," "
19,9,"."
45,1," "
31,31,"!"
14,6,"."
55,62,"*"
30,2," "
4,1," "
54,22,"!"
30,48,"*"
40,58,"*"
56,22,"#"
42,46,"!"
0,35,"#"
51,62,"!"
21,14,"."
3,10," "
56,31,"#"
42,13,"!"
2,4," "
25,3," "
20,6,"."
25,30,"!"
38,22,"!"
28,8," "
51,19,"!"
31,46,"*"
38,49,"!"
25,45,"*"
46,45,"!"
35,29,"!"
41,30,"!"
19,53,"*"
3,33,"*"
49,40,"!"
15,5,"."
17,52,"*"
13,36," "
13,21,"*"
10,26,"!"
36,6," "
54,20,"#"
31,45,"*"
50,17,"!"
43,25,"#"
42,29,"!"
13,43,"."
19,47,"!"
29,6," "
21,45,"!"
29,42,"!"
0,27," "
56,26,"#"
4,18,"*"
11,13,"#"
41,21,"!"
34,46,"!"
33,4," "
36,27,"!"
38,50,"!"
39,4," "
54,19,"!"
52,46,"*"
40,20,"!"
21,9,"."
12,18,"*"
38,28,"!"
17,17,"."
40,60,"#"
27,38,"#"
7,28,"#"
19,23,"."
26,23,"!"
32,48,"*"
30,45,"*"
17,5,"."
21,54,"#"
42,45,"!"
38,37,"!"
13,53,"#"
39,20,"!"
42,39,"*"
29,38,"!"
29,24,"!"
52,11,"!"
41,1," "
50,43,"#"
45,50,"*"
53,29,"!"
0,22," "
29,48,"#"
8,18,"!"
46,9,"!"
3,17,"*"
45,53,"*"
48,59,"#"
53,49,"!"
33,8," "
32,44,"*"
7,1," "
54,0,"#"
21,11,"."
51,14,"!"
4,34,"*"
52,56,"!"
38,55,"*"
55,63,"#"
3,40,"#"
17,18,"."
27,29,"!"
0,34,"#"
44,50,"!"
46,35,"*"
14,43,"."
41,5,"#"
47,21,"!"
45,6,"!"
50,14,"!"
41,22,"!"
53,34,"!"
54,58,"!"
5,3," "
29,9," "
12,48,"*"
38,58,"#"
54,51,"!"
26,0," "
45,5,"!"
21,4,"!"
54,4,"!"
22,37,"!"
48,42,"!"
52,15,"!"
24,13,"!"
35,6," "
30,43,"*"
45,47,"!"
11,24,"#"
38,41,"*"
33,9," "
1,16," "
28,37,"!"
38,43,"*"
24,46,"!"
27,9," "
22,17,"."
19,40,"."
20,29,"."
47,39,"!"
30,49,"#"
24,40,"*"
40,54,"*"
5,0," "
53,27,"!"
15,29,"#"
6,38,"#"
50,44,"*"
34,19,"!"
12,25," "
47,26,"!"
11,7,"!"
40,29,"!"
51,65,"#"
56,1," "
35,20,"!"
15,22,"*"
35,50,"*"
10,14,"!"
55,22,"!"
1,22,"#"
42,37,"*"
18,20,"."
17,25,"."
7,24,"#"
37,14,"!"
32,20,"!"
24,30,"!"
17,23,"#"
28,29,"!"
25,36,"*"
9,18,"!"
29,46,"*"
19,11,"#"
41,43,"!"
5,10," "
48,49,"!"
28,14,"#"
46,39,"!"
52,32,"!"
49,7,"!"
54,29,"!"
50,40,"#"
7,0," "
37,56,"#"
40,10,"!"
29,11," "
41,16,"#"
30,35,"!"
46,13,"!"
3,31,"*"
50,58,"#"
50,35,"!"
53,11,"!"
22,7,"!"
6,35,"#"
46,56,"*"
27,15,"!"
9,40,"#"
29,22,"!"
42,14,"!"
15,36,"#"
52,62,"!"
35,40,"!"
27,8," "
28,5," "
15,49,"!"
41,15,"!"
17,10,"."
44,32,"*"
35,12,"!"
14,19," "
30,19,"!"
16,2,"#"
7,40,"!"
56,4," "
19,24,"."
51,48,"!"
33,43,"!"
23,29,"!"
52,64,"!"
53,64,"*"
49,11,"!"
38,8,"!"
16,41,"."
11,34," "
6,26,"!"
51,50,"!"
51,10,"!"
51,4,"!"
4,26,"!"
3,22,"#"
8,23,"!"
35,2," "
9,49,"*"
46,27,"!"
23,12,"!"
35,41,"!"
37,55,"#"
8,35,"!"
28,42,"!"
27,18,"!"
26,42,"*"
41,9,"!"
53,8,"#"
36,24,"!"
21,31,"."
28,32,"!"
41,47,"!"
26,18,"!"
45,26,"!"
45,23,"!"
48,22,"!"
28,36,"!"
23,15,"!"
41,54,"!"
32,23,"!"
14,3,"#"
19,37,"."
39,9,"!"
32,17,"!"
29,15,"!"
49,47,"#"
14,0," "
28,1," "
40,28,"!"
39,38,"*"
48,29,"!"
42,6,"!"
28,31,"!"
5,6," "
9,6," "
47,50,"!"
24,21,"!"
55,16,"#"
18,2,"*"
47,41,"!"
51,20,"!"
12,52,"*"
40,8,"!"
13,34," "
5,45," "
55,0," "
51,58,"!"
7,41,"!"
32,30,"!"
55,35,"!"
6,9," "
15,54,"#"
32,13,"!"
19,42,"."
48,13,"!"
6,17,"*"
49,13,"#"
24,22,"!"
9,16,"!"
13,33," "
36,28,"!"
47,54,"*"
0,6," "
15,31,"#"
28,16,"!"
45,15,"!"
38,13,"!"
10,23,"!"
47,3," "
35,11,"!"
45,17,"!"
9,45,"!"
50,27,"!"
5,42,"#"
0,20," "
17,43,"."
14,16," "
0,31,"#"
2,11," "
52,33,"!"
7,46," "
53,52,"!"
26,15,"!"
54,47,"*"
32,28,"!"
27,5," "
17,30,"."
12,21,"*"
36,14,"!"
39,32,"!"
49,35,"!"
43,41,"!"
53,65,"#"
22,42,"!"
14,48,"!"
3,20,"#"
43,50,"!"
26,34,"!"
28,38,"!"
22,49,"*"
19,2,"*"
10,17,"!"
56,2," "
48,23,"!"
36,53,"*"
49,33,"*"
52,50,"!"
34,30,"!"
44,30,"!"
12,6,"!"
12,40," "
51,33,"#"
10,38," "
37,46,"!"
42,42,"!"
34,34,"!"
18,30,"."
21,2,"#"
0,33,"#"
5,41,"!"
18,22,"#"
16,27,"*"
37,45,"!"
49,2,"#"
4,40,"!"
13,22," "
27,40,"#"
38,27,"!"
54,35,"!"
32,16,"!"
22,12,"."
35,46,"!"
14,47,"."
25,50,"#"
46,14,"!"
7,35,"!"
30,36,"!"
2,23,"!"
56,7," "
26,11,"*"
18,49,"*"
7,8," "
55,4,"#"
21,37,"."
19,18,"."
50,45,"*"
21,21,"."
29,34,"!"
10,42,"!"
11,35," "
9,11,"!"
38,33,"!"
38,38,"#"
6,19,"*"
20,3,"."
8,4," "
55,29,"!"
25,32,"!"
32,49,"#"
14,52,"*"
49,45,"#"
28,19,"!"
18,53,"*"
51,22,"!"
51,55,"!"
17,8,"#"
41,11,"!"
42,32,"!"
56,46,"*"
17,35,"."
24,1," "
55,5,"#"
16,24,"*"
8,27,"!"
42,55,"!"
46,58,"*"
34,25,"!"
25,31,"!"
0,10," "
3,21,"#"
7,15,"#"
39,23,"!"
42,22,"!"
2,24,"#"
15,8,"."
23,3," "
24,44,"*"
24,35,"!"
46,33,"*"
37,0," "
38,26,"!"
24,43,"*"
34,10,"!"
31,12,"#"
52,63,"!"
27,2," "
18,7,"#"
16,36,"."
40,44,"*"
25,6,"#"
3,14," "
48,30,"!"
34,47,"!"
44,22,"!"
52,35,"!"
24,33,"!"
25,49,"#"
20,24,"."
18,12,"."
19,21,"#"
14,34," "
52,16,"!"
32,32,"!"
46,10,"!"
47,25,"#"
4,10," "
51,34,"#"
16,22,"."
53,47,"*"
10,32,"#"
24,28,"!"
49,44,"#"
11,9,"!"
20,31,"#"
1,17,"#"
47,13,"!"
54,30,"#"
40,45,"*"
10,21,"!"
50,61,"!"
16,34,"."
53,59,"!"
23,39,"!"
46,31,"#"
1,37,"#"
52,18,"!"
53,31,"#"
3,32,"*"
55,14,"#"
20,28,"."
39,51,"*"
24,14,"!"
9,9,"#"
13,20,"*"
18,1,"#"
39,15,"!"
30,23,"!"
26,24,"!"
29,10," "
6,21,"*"
40,24,"!"
15,43,"."
19,5,"."
39,54,"*"
1,4," "
54,61,"*"
19,6,"."
4,38,"!"
44,12,"!"
37,11,"!"
51,11,"#"
2,32,"*"
12,29," "
4,5," "
49,64,"#"
39,34,"!"
0,17," "
30,9," "
41,28,"!"
42,30,"!"
21,35,"."
19,13,"."
9,31,"!"
51,6,"#"
46,8,"!"
19,26,"."
45,55,"*"
49,39,"!"
7,20,"#"
10,33,"#"
54,54,"!"
52,27,"!"
17,14,"."
47,23,"!"
52,30,"!"
40,33,"!"
52,42,"*"
7,51,"_"
17,11,"."
10,5," "
36,38,"!"
45,4,"#"
33,17,"!"
8,11," "
39,26,"!"
56,14," "
7,13," "
2,15," "
39,46,"*"
21,30,"!"
17,22,"."
27,11,"#"
32,2," "
14,40,"."
11,40," "
6,2," "
48,18,"#"
27,44,"!"
37,9,"!"
